Section Summaries,KEY:,, = missing sample,RED, = very low sample,, = need to fill in,, = coarsest sample,,,,,,,,,Percentiles,,,% Volume below threshold ,,,,,,,,% Volume,,
Exp,Site,Hole ,Core,Type,Section,Recovered length (m),Curated length (m),Depth,Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Sample,Mean:,Median (µm),Mode (µm),SD (µm),d10 (µm),d50 (µm),d90 (µm),4,6,10,32,63,125,250,500,% Clay,% Silt,% Sand,
363,U1485,A,7,H,7,1.05,1.05,63.59,64.64,63.112,64.103,85A_7_7-0_7622_01.$ls,4.43,4.55,18,2.91,0.977,4.55,18.2,45.711,59.079,72.1086,99.9718,100,100,100,100,45.711,54.289,0,
363,U1485,A,8,H,1,0.46,0.46,64.5,64.96,64.5,64.913,85A_8_1-0_7624_01.$ls,4.17,4.32,16,2.79,0.973,4.32,16.7,47.2751,61.5011,75.5756,100,100,100,100,100,47.2751,52.7249,0,
363,U1485,A,7,H,CC,0.42,0.42,64.64,65.06,64.103,64.5,85A_7_CC-0_7623_01.$ls,4.02,4.1,18,2.87,0.917,4.1,17,49.1562,62.3992,75.1601,100,100,100,100,100,49.1562,50.8438,0,
363,U1485,A,8,H,2,1.41,1.41,64.96,66.37,64.913,66.181,85A_8_2-0_7625_01.$ls,6.86,8.35,20,3.28,1.16,8.34,28.2,33.222,42.699,53.8444,94.1691,100,100,100,100,33.222,66.778,0,
363,U1485,A,8,H,3,1.41,1.41,66.37,67.78,66.181,67.448,85A_8_3-0_7627_01.$ls,3.94,4.02,18,2.84,0.921,4.02,16.7,49.8286,63.3869,76.7094,100,100,100,100,100,49.8286,50.1714,0,
363,U1485,A,8,H,4,1.32,1.32,67.78,69.1,67.448,68.634,85A_8_4-0_7628_01.$ls,3.94,4.05,16,2.82,0.919,4.05,16.5,49.5832,63.6697,76.937,100,100,100,100,100,49.5832,50.4168,0,
363,U1485,A,8,H,5,1.52,1.52,69.1,70.62,68.634,70.001,85A_8_5-0_7629_01.$ls,3.71,3.75,16,2.82,0.883,3.75,15.9,52.2136,65.7143,78.235,100,100,100,100,100,52.2136,47.7864,0,
363,U1485,A,8,H,6,1.42,1.42,70.62,72.04,70.001,71.277,85A_8_6-0_7630_01.$ls,4.72,4.79,18,3.14,0.944,4.79,20.6,44.6449,56.5411,68.4028,98.4875,100,100,100,100,44.6449,55.3551,0,
363,U1485,A,8,H,7,1.53,1.53,72.04,73.57,71.277,72.652,85A_8_7-0_7631_01.$ls,3.95,3.99,18,2.91,0.895,3.99,17.3,50.0494,63.1737,75.4871,99.9986,100,100,100,100,50.0494,49.9506,0,
363,U1485,A,8,H,8,1.21,1.21,73.57,74.78,72.652,73.74,85A_8_8-0_7632_01.$ls,4.27,4.33,18,2.98,0.924,4.33,18.5,47.5686,59.8495,72.2033,99.9947,100,100,100,100,47.5686,52.4314,0,
363,U1485,A,9,H,1,0.36,0.36,74,74.36,74,74.324,85A_9_1-0_7634_01.$ls,3.51,3.88,12,2.53,0.905,3.88,11.5,51.0696,66.0195,84.5803,100,100,100,100,100,51.0696,48.9304,0,
363,U1485,A,9,H,2,1.4,1.4,74.36,75.76,74.324,75.586,85A_9_2-0_7636_01.$ls,2.95,3.3,4,2.73,0.721,3.19,11.2,58.0557,72.1089,86.7356,100,100,100,100,100,58.0557,41.9443,0,
363,U1485,A,8,H,CC,0.29,0.29,74.78,75.07,73.74,74,85A_8_CC-0_7633_01.$ls,4.71,4.94,18,2.98,0.991,4.94,19.2,43.5682,55.8715,69.0884,99.936,100,100,100,100,43.5682,56.4318,0,
363,U1485,A,9,H,3,1.41,1.41,75.76,77.17,75.586,76.857,85A_9_3-0_7637_01.$ls,3.66,3.82,16,3.06,0.781,3.82,16.5,51.4411,64.0706,76.4866,100,100,100,100,100,51.4411,48.5589,0,
363,U1485,A,9,H,4,1.41,1.41,77.17,78.58,76.857,78.128,85A_9_4-0_7638_01.$ls,3.31,3.48,16,2.98,0.734,3.48,15.3,54.6615,68.1945,80.8939,100,100,100,100,100,54.6615,45.3385,0,
363,U1485,A,9,H,5,1.47,1.47,78.58,80.05,78.128,79.453,85A_9_5-0_7728_01.$ls,3.34,3.45,4,3.04,0.726,3.45,15.7,54.9506,68.0398,79.7162,100,100,100,100,100,54.9506,45.0494,0,
363,U1485,A,9,H,6,1.5,1.48,80.05,81.53,79.453,80.787,85A_9_6-0_7729_01.$ls,2.86,3.05,4,2.7,0.721,3.05,10.9,60.0473,74.7493,88.313,100,100,100,100,100,60.0473,39.9527,0,
363,U1485,A,9,H,7,1.31,1.31,81.53,82.84,80.787,81.967,85A_9_7-0_7730_01.$ls,4.56,5.17,15,2.71,1.09,5.17,15.5,41.2028,55.4492,72.9091,100,100,100,100,100,41.2028,58.7972,0,
363,U1485,A,9,H,8,1.29,1.29,82.84,84.13,81.967,83.13,85A_9_8-0_7732_01.$ls,2.95,3.14,4,2.7,0.739,3.14,11.1,58.5731,72.3497,86.8948,100,100,100,100,100,58.5731,41.4269,0,
363,U1485,A,10,H,1,0.12,0.12,83.5,83.62,83.5,83.611,85A_10_1-0_7735_01.$ls,4.39,4.76,18,2.97,0.936,4.76,17.3,44.3916,57.5121,71.4256,100,100,100,100,100,44.3916,55.6084,0,
363,U1485,A,10,H,2,1.4,1.4,83.62,85.02,83.611,84.911,85A_10_2-0_7736_01.$ls,4.21,4.46,18,3.3,0.796,4.46,19.5,46.9311,58.3401,70.2665,99.8493,100,100,100,100,46.9311,53.0689,0,
363,U1485,A,9,H,CC,0.41,0.41,84.13,84.54,83.13,83.5,85A_9_CC-0_7734_01.$ls,3.54,3.68,16,3.09,0.748,3.68,16.4,52.7051,65.5945,77.2021,100,100,100,100,100,52.7051,47.2949,0,
363,U1485,A,10,H,3,1.36,1.36,85.02,86.38,84.911,86.174,85A_10_3-0_7737_01.$ls,3.17,3.51,12,2.79,0.74,3.51,11.6,54.3361,67.8711,84.4068,100,100,100,100,100,54.3361,45.6639,0,
363,U1485,A,10,H,4,1.4,1.4,86.38,87.78,86.174,87.474,85A_10_4-0_7738_01.$ls,3.04,3.34,12,2.76,0.725,3.34,11.4,56.175,70.0071,85.7066,100,100,100,100,100,56.175,43.825,0,
363,U1485,A,10,H,5,1.4,1.4,87.78,89.18,87.474,88.774,85A_10_5-0_7739_01.$ls,3.34,3.7,5,2.91,0.74,3.7,13.8,52.7488,67.1932,82.2951,100,100,100,100,100,52.7488,47.2512,0,
363,U1485,A,10,H,6,1.43,1.43,89.18,90.61,88.774,90.102,85A_10_6-0_7740_01.$ls,3.32,3.68,12,2.72,0.807,3.68,11.7,52.8962,66.7174,83.6594,100,100,100,100,100,52.8962,47.1038,0,
363,U1485,A,10,H,7,1.44,1.44,90.61,92.05,90.102,91.44,85A_10_7-0_7741_01.$ls,3.06,3.32,7,2.67,0.702,3.32,10.8,55.5404,70.2923,88.2755,100,100,100,100,100,55.5404,44.4596,0,
363,U1485,A,10,H,8,1.42,1.42,92.05,93.47,91.44,92.758,85A_10_8-0_7742_01.$ls,3.07,3.41,7,2.73,0.743,3.41,11,55.2991,69.2747,86.8852,100,100,100,100,100,55.2991,44.7009,0,
363,U1485,A,11,H,1,1.4,1.4,93,94.4,93,94.264,85A_11_1-0_7745_01.$ls,6.28,6.68,42,3.9,0.943,6.68,38.2,37.5584,47.4383,58.6287,85.2746,99.9965,100,100,100,37.5584,62.4381,0.0035,
363,U1485,A,10,H,CC,0.26,0.26,93.47,93.73,92.758,93,85A_10_CC-0_7743_01.$ls,4.35,4.72,18,3.18,0.85,4.72,18.8,45.0466,57.1043,70.2065,99.9946,100,100,100,100,45.0466,54.9534,0,
363,U1485,A,11,H,2,1.4,1.4,94.4,95.8,94.264,95.528,85A_11_2-0_7746_01.$ls,3,3.13,6,2.75,0.676,3.13,12,56.7763,71.1469,87.4757,100,100,100,100,100,56.7763,43.2237,0,
363,U1485,A,11,H,3,1.41,1.41,95.8,97.21,95.528,96.802,85A_11_3-0_7747_01.$ls,3.78,4.03,18,3.09,0.78,4.03,16.8,49.7892,62.4855,75.5345,100,100,100,100,100,49.7892,50.2108,0,
363,U1485,A,11,H,4,1.4,1.4,97.21,98.61,96.802,98.066,85A_11_4-0_7748_01.$ls,3.05,3.29,5,2.76,0.739,3.29,11.7,56.819,71.2025,86.2383,100,100,100,100,100,56.819,43.181,0,
363,U1485,A,11,H,5,1.38,1.38,98.61,99.99,98.066,99.312,85A_11_5-0_7749_01.$ls,3.06,3.3,12,2.72,0.75,3.3,11.3,56.6302,70.3214,85.895,100,100,100,100,100,56.6302,43.3698,0,
363,U1485,A,11,H,6,1.5,1.5,99.99,101.49,99.312,100.666,85A_11_6-0_7750_01.$ls,3.84,4.07,18,3.1,0.793,4.07,17.1,49.472,62.0171,74.864,100,100,100,100,100,49.472,50.528,0,
363,U1485,A,11,H,7,1.41,1.41,101.49,102.9,100.666,101.94,85A_11_7-0_7751_01.$ls,3.06,3.3,12,2.69,0.766,3.3,11.2,56.8189,70.8922,86.2803,100,100,100,100,100,56.8189,43.1811,0,
363,U1485,A,12,H,1,0.62,0.62,102.5,103.12,102.5,103.047,85A_12_1-0_7753_01.$ls,3.36,3.62,4,2.8,0.797,3.62,13.6,53.6154,68.3127,82.9915,100,100,100,100,100,53.6154,46.3846,0,
363,U1485,A,11,H,CC,0.62,0.62,102.9,103.52,101.94,102.5,85A_11_CC-0_7752_01.$ls,3.13,3.43,5,2.65,0.792,3.43,11.1,55.6871,70.7332,86.8453,100,100,100,100,100,55.6871,44.3129,0,
363,U1485,A,12,H,2,1.46,1.46,103.12,104.58,103.047,104.335,85A_12_2-0_7754_01.$ls,3.79,3.99,18,3.03,0.812,3.99,16.9,50.0842,63.3879,76.3837,100,100,100,100,100,50.0842,49.9158,0,
363,U1485,A,12,H,3,1.44,1.44,104.58,106.02,104.335,105.605,85A_12_3-0_7781_01.$ls,6.76,6.31,55,4.15,0.976,6.31,49.6,39.6113,48.9535,58.24,79.8832,96.738,100,100,100,39.6113,57.1267,3.262,
363,U1485,A,12,H,4,1.35,1.35,106.02,107.37,105.605,106.796,85A_12_4-0_7782_01.$ls,7.81,7.49,61,4.21,1.08,7.49,54.5,36.1982,45.5834,54.909,75.7484,95.3748,100,100,100,36.1982,59.1766,4.6252,
363,U1485,A,12,H,5,1.52,1.52,107.37,108.89,106.796,108.137,85A_12_5-0_7783_01.$ls,5.47,5.14,42,3.63,0.953,5.14,36,43.2702,53.9188,64.7886,87.5773,99.9972,100,100,100,43.2702,56.727,0.0028,
363,U1485,A,12,H,6,1.47,1.47,108.89,110.36,108.137,109.433,85A_12_6-0_7784_01.$ls,4.52,4.31,4,3.37,0.881,4.31,24.7,47.7868,59.4586,70.5447,92.4883,100,100,100,100,47.7868,52.2132,0,
363,U1485,A,12,H,7,1.5,1.5,110.36,111.86,109.433,110.756,85A_12_7-0_7785_01.$ls,3.29,3.49,5,2.59,0.856,3.49,12.1,54.9086,69.7308,85.1589,100,100,100,100,100,54.9086,45.0914,0,
363,U1485,A,12,H,8,1.05,1.05,111.86,112.91,110.756,111.683,85A_12_8-0_7786_01.$ls,8.52,8.38,61,4.27,1.13,8.38,58.7,34.0964,43.448,52.9973,73.4342,93.4251,100,100,100,34.0964,59.3287,6.5749,
363,U1485,A,13,H,1,1.33,1.33,112,113.33,112,113.272,85A_13_1-0_7788_01.$ls,3.9,3.95,18,2.87,0.901,3.95,16.8,50.3804,63.5097,76.0358,100,100,100,100,100,50.3804,49.6196,0,
363,U1485,A,12,H,CC,0.36,0.36,112.91,113.27,111.683,112,85A_12_cc-0_7787_01.$ls,3.84,3.97,16,2.82,0.899,3.97,16,50.2809,63.5628,76.936,100,100,100,100,100,50.2809,49.7191,0,
363,U1485,A,13,H,2,1.4,1.4,113.33,114.73,113.272,114.612,85A_13_2-0_7789_01.$ls,7.13,6.72,55,4.05,1.04,6.72,49.7,37.4247,47.4461,57.3438,79.0811,98.1139,100,100,100,37.4247,60.6892,1.8861,
363,U1485,A,13,H,3,1.41,1.41,114.73,116.14,114.612,115.961,85A_13_3-0_7790_01.$ls,4.09,4.09,16,2.92,0.926,4.09,17.4,49.225,62.8509,74.9975,98.6193,100,100,100,100,49.225,50.775,0,
363,U1485,A,13,H,4,1.33,1.33,116.14,117.47,115.961,117.233,85A_13_4-0_7792_01.$ls,4.06,6.41,15,3.03,0.889,4.02,17.8,49.8262,62.9168,74.3399,97.5872,100,100,100,100,49.8262,50.1738,0,
363,U1485,A,13,H,5,1.4,1.4,117.47,118.87,117.233,118.573,85A_13_5-0_7793_01.$ls,6.53,4.02,16,3.92,1.04,5.87,48.1,39.6639,50.5652,60.8407,81.801,98.2541,100,100,100,39.6639,58.5902,1.7459,
363,U1485,A,13,H,6,1.5,1.5,118.87,120.37,118.573,120.008,85A_13_6-0_7794_01.$ls,12.9,15.8,73,4.78,1.32,15.8,79.2,27.649,35.2205,42.67,59.2934,78.7469,99.9887,100,100,27.649,51.0979,21.2531,
363,U1485,A,13,H,7,1.24,1.24,120.37,121.61,120.008,121.194,85A_13_7-0_7795_01.$ls,6.89,6.49,50,3.98,1.04,6.49,48.1,38.1459,48.2231,58.3415,80.3233,98.3683,100,100,100,38.1459,60.2224,1.6317,
363,U1485,A,14,H,1,1.31,1.31,121.5,122.81,121.5,122.714,85A_14_1-0_7796_01.$ls,4.46,4.67,16,2.81,1.02,4.67,17.4,44.705,58.4776,72.935,99.9978,100,100,100,100,44.705,55.295,0,
363,U1485,A,14,H,2,1.38,1.38,122.81,124.19,122.714,123.993,85A_14_2-0_7797_01.$ls,4.1,4.16,16,2.81,0.965,4.16,17,48.628,62.5565,75.548,100,100,100,100,100,48.628,51.372,0,
