Section Summaries,,, = missing sample,RED, = sample too low,,,,,,,,,,,,,Percentiles,,,% Volume below threshold ,,,,,,,,,% Volume,,,,,,,
Exp,Site,Hole ,Core,Type,Section,Recovered length (m),Curated length (m),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Sample,Mean (µm),Median (µm),Mode (µm),SD (µm),d10 (µm),d50 (µm),d90 (µm),4,6,10,32,63,125,250,500,%Clay,%Silt,%Sand,,,,,,,
363,U1484,A,10,H,1,1.21,1.21,81,82.21,81,82.21, 84A_10_1-0_7450_01.$ls,9.85,10.3,73.000,4.78,1.17,10.3,70.8,31.3849,40.2889,49.4867,67.8108,85.4343,100,100,100,31.38,54.05,14.57,,,,,,,
363,U1484,A,10,H,2,1.36,1.36,82.21,83.57,81.57,82.21, 84A_10_2-0_7449_01.$ls,5.21,5.16,4.000,3.54,0.958,5.16,31.7,41.825,54.6454,67.758,90.1561,99.998,100,100,100,41.83,58.17,0.00,,,,,,,
363,U1484,A,10,H,3,1.16,1.16,83.57,84.73,82.771,83.57, 84A_10_3-0_7451_01.$ls,7.4,7.27,50.000,4.21,1.08,7.27,50.9,35.2536,45.6014,56.3871,78.072,96.6065,100,100,100,35.25,61.35,3.39,,,,,,,
363,U1484,A,10,H,4,1.43,1.43,84.73,86.16,83.696,84.73, 84A_10_4-0_7452_01.$ls,8.06,8.44,55.000,4.35,1.08,8.44,53.3,33.9562,43.3142,52.9263,75.1979,95.8693,100,100,100,33.96,61.91,4.13,,,,,,,
363,U1484,A,10,H,5,1.42,1.42,86.16,87.58,85.046,86.16, 84A_10_5-0_7453_01.$ls,7.28,7.62,50.000,4.18,1.01,7.62,46.4,35.2167,44.9349,54.9872,78.9618,99.4555,100,100,100,35.22,64.24,0.54,,,,,,,
363,U1484,A,10,H,6,1.43,1.43,87.58,89.01,86.405,87.58, 84A_10_6-0_7454_01.$ls,35.1,69,96.000,4.55,2.96,69,122,12.3712,15.7027,19.7277,30.2871,45.3876,91.3583,100,100,12.37,33.02,54.61,,,,,,,
363,U1484,A,10,H,7,0.81,0.81,89.01,89.82,88.275,89.01, 84A_10_7-0_7455_01.$ls,34.4,66.1,88.000,4.52,2.97,66.1,124,12.0604,15.786,19.6624,30.8226,47.595,90.5564,100,100,12.06,35.53,52.41,,,,,,,
363,U1484,A,10,H,8,0.63,0.63,89.82,90.45,89.232,89.82, 84A_10_8-0_7456_01.$ls,40.9,73.3,96.000,4.19,3.94,73.3,126,10.095,12.6974,15.9823,25.5698,41.5324,89.723,100,100,10.10,31.44,58.47,,,,,,,
363,U1484,A,10,H,CC,0.18,0.18,90.45,90.63,90.273,90.45, 84A_10_cc-0,,,,,,,,,,,,,,,,,,,,,,,,,
363,U1484,A,11,H,1,0.9,0.9,90.5,91.4,90.5,91.4, 84A_11_1-0_7457_01.$ls,12.2,14.8,80.000,4.95,1.3,14.8,80.5,27.1666,34.9949,43.2491,62.1353,79.2221,99.9835,100,100,27.17,52.06,20.78,,,,,,,
