LS,File name:,File ID:,Sample ID:,Operator:,Bar code:,Comment 1:,Comment 2:,Instrument:,Run number:,Start time:,Run length:,Optical model:,Obscuration:,PIDS Obscur:,Obscuration:,Serial Number:,,From,To,Volume ,Depth,Mean:,Median:,"D(3,2):",Mean/Median ratio:,Mode:,S.D.:,Variance:,C.V.:,Skewness:,Kurtosis:,d10:,d50:,d90:,Specific Surf. Area:,,% <,10,25,50,75,90,,Size ,4,10,63,125,250
4/16/2017 17:23,86B_17_2-43_8311_01.$ls,86B_17_2-43,,,,duplicate,,"LS 13 320, Aqueous Liquid Module",8311,4/16/2017 13:35,91,Fraunhofer.rfd   PIDS included,7,60,Low,7625,,0.03999,2000,100,150.44,6.8139,9.00671,2.51305,0.756536,18.0014,3.52523,12.4273,0,-0.819192,0.0418507,1.07364,9.00671,27.7232,23875.4,,Size ,30.3847,52.7125,100,100,100,,% <,30.4,52.7,100,100,100
4/16/2017 17:23,86B_17_5-96_8312_01.$ls,86B_17_5-96,,,,duplicate,,"LS 13 320, Aqueous Liquid Module",8312,4/16/2017 13:48,91,Fraunhofer.rfd   PIDS included,8,50,OK,7625,,0.03999,2000,100,155.47,13.0635,16.8348,4.632,0.77598,55.1345,3.41836,11.6852,0,-1.01062,0.629871,2.34145,16.8348,50.2685,12953.4,,Size ,16.0384,34.7843,99.5072,100,100,,% <,16,34.8,99.5,100,100
4/16/2017 17:23,86B_18_3-78_8313_01.$ls,86B_18_3-78,,,,,,"LS 13 320, Aqueous Liquid Module",8313,4/16/2017 14:01,90,Fraunhofer.rfd   PIDS included,11,55,OK,7625,,0.03999,2000,100,161.79,17.9269,22.6007,5.65184,0.7932,55.1345,3.63694,13.2274,0,-0.989428,0.66766,2.96477,22.6007,75.8587,10616,,Size ,12.7881,27.6178,84.6457,100,100,,% <,12.8,27.6,84.6,100,100
4/16/2017 17:23,86B_18_6-47_8315_01.$ls,86B_18_6-47,,,,,,"LS 13 320, Aqueous Liquid Module",8315,4/16/2017 14:20,90,Fraunhofer.rfd   PIDS included,9,53,OK,7625,,0.03999,2000,100,165.98,20.2846,27.3267,6.07228,0.7423,87.8959,3.57695,12.7945,0,-1.10483,1.0653,3.63538,27.3267,80.2788,9880.98,,Size ,10.9186,24.9241,80.599,100,100,,% <,10.9,24.9,80.6,100,100
4/16/2017 17:23,86B_19_1-96_8317_01.$ls,86B_19_1-96,,,,duplicate,,"LS 13 320, Aqueous Liquid Module",8317,4/16/2017 14:40,90,Fraunhofer.rfd   PIDS included,8,50,OK,7625,,0.03999,2000,100,168.47,18.2301,22.5223,6.25551,0.809425,80.0684,3.43998,11.8335,0,-1.00028,0.761766,3.40965,22.5223,71.7369,9591.54,,Size ,11.5442,27.16,84.9679,100,100,,% <,11.5,27.2,85,100,100
4/16/2017 17:23,86B_19_3-116_8318_01.$ls,86B_19_3-116,,,,duplicate,,"LS 13 320, Aqueous Liquid Module",8318,4/16/2017 14:55,90,Fraunhofer.rfd   PIDS included,8,41,OK,7625,,0.03999,2000,100,171.05,62.3142,96.4271,10.4316,0.646231,168.861,3.57821,12.8036,0,-1.80905,4.06825,12.1323,96.4271,188.096,5751.75,,Size ,4.06363,8.38088,38.3065,59.4484,99.8286,,% <,4.06,8.38,38.3,59.4,99.8
4/16/2017 17:23,86B_19_3-53_8319_01.$ls,86B_19_3-53,,,,duplicate,,"LS 13 320, Aqueous Liquid Module",8319,4/16/2017 15:03,90,Fraunhofer.rfd   PIDS included,8,41,OK,7625,,0.03999,2000,100,171.68,23.8994,30.7071,7.45595,0.778304,55.1345,3.27133,10.7016,0,-1.31588,2.07286,5.18666,30.7071,87.2709,8047.27,,Size ,7.95214,18.242,79.8293,99.9423,100,,% <,7.95,18.2,79.8,99.9,100
4/16/2017 17:23,86B_20_2-36_8320_01.$ls,86B_20_2-36,,,,duplicate,,"LS 13 320, Aqueous Liquid Module",8320,4/16/2017 15:13,90,Fraunhofer.rfd   PIDS included,9,51,OK,7625,,0.03999,2000,100,178.87,20.8292,28.1296,6.42529,0.740474,87.8959,3.53817,12.5186,0,-1.10302,1.04175,3.7373,28.1296,82.5035,9338.1,,Size ,10.6142,24.0864,80.1805,100,100,,% <,10.6,24.1,80.2,100,100
4/16/2017 17:23,86B_20_5-115_8321_01.$ls,86B_20_5-115,,,,,,"LS 13 320, Aqueous Liquid Module",8321,4/16/2017 15:22,91,Fraunhofer.rfd   PIDS included,11,56,OK,7625,,0.03999,2000,100,184.16,22.8893,31.794,6.10637,0.719925,105.925,3.71093,13.771,0,-1.15075,1.23768,3.92998,31.794,94.8997,9825.8,,Size ,10.1654,22.862,75.4702,99.8753,100,,% <,10.2,22.9,75.5,99.9,100
4/16/2017 17:23,86B_21_3-42_8322_01.$ls,86B_21_3-42,,,,,,"LS 13 320, Aqueous Liquid Module",8322,4/16/2017 15:33,91,Fraunhofer.rfd   PIDS included,12,60,OK,7625,,0.03999,2000,100,189.93,22.98,34.2961,4.5553,0.670046,105.925,4.0842,16.6807,0,-1.31029,1.62788,3.42059,34.2961,96.9436,13171.5,,Size ,11.266,22.8378,72.9812,99.8529,100,,% <,11.3,22.8,73,99.9,100
4/16/2017 17:23,86B_21_4-57_8323_01.$ls,86B_21_4-57,,,,,,"LS 13 320, Aqueous Liquid Module",8323,4/16/2017 15:44,91,Fraunhofer.rfd   PIDS included,9,42,OK,7625,,0.03999,2000,100,191.58,50.6926,65.9889,9.78177,0.768198,153.823,3.42722,11.7458,0,-1.72042,4.11454,11.692,65.9889,168.261,6133.86,,Size ,4.25451,8.60538,48.3439,73.6307,99.9491,,% <,4.25,8.61,48.3,73.6,99.9
4/16/2017 17:23,86B_21_6-74_8324_01.$ls,86B_21_6-74,,,,,,"LS 13 320, Aqueous Liquid Module",8324,4/16/2017 15:53,90,Fraunhofer.rfd   PIDS included,11,52,OK,7625,,0.03999,2000,100,194.75,32.784,46.4882,6.94519,0.705212,116.279,3.64942,13.3183,0,-1.49299,2.60476,5.8288,46.4882,118.787,8639.07,,Size ,7.13321,15.6243,62.5267,92.6571,100,,% <,7.13,15.6,62.5,92.7,100
4/16/2017 17:23,86B_22_3-52_8325_01.$ls,86B_22_3-52,,,,,,"LS 13 320, Aqueous Liquid Module",8325,4/16/2017 16:05,90,Fraunhofer.rfd   PIDS included,11,56,OK,7625,,0.03999,2000,100,199.53,29.2851,43.7508,5.18008,0.669361,105.925,4.04544,16.3656,0,-1.46283,2.24048,4.37055,43.7508,114.802,11582.8,,Size ,9.36561,18.2579,64.946,93.4639,100,,% <,9.37,18.3,64.9,93.5,100
4/16/2017 17:23,86B_22_6-15_8326_01.$ls,86B_22_6-15,,,,,,"LS 13 320, Aqueous Liquid Module",8326,4/16/2017 16:15,91,Fraunhofer.rfd   PIDS included,12,54,OK,7625,,0.03999,2000,100,203.66,45.7421,70.1943,7.88607,0.65165,140.123,3.87392,15.0072,0,-1.57461,2.70872,6.92125,70.1943,158.526,7608.35,,Size ,6.40782,13.2507,46.2968,75.4293,99.9936,,% <,6.41,13.3,46.3,75.4,99.99
4/16/2017 17:23,86B_23_2-33_8327_01.$ls,86B_23_2-33,,,,,,"LS 13 320, Aqueous Liquid Module",8327,4/16/2017 16:22,91,Fraunhofer.rfd   PIDS included,9,40,OK,7625,,0.03999,2000,100,207.34,28.4527,39.4987,8.95741,0.720347,105.925,3.54438,12.5627,0,-1.07184,0.810097,4.87268,39.4987,106.827,6698.36,,Size ,8.27537,19.3758,65.4076,98.6565,100,,% <,8.28,19.4,65.4,98.7,100
4/16/2017 17:23,86B_23_2-108_8328_01.$ls,86B_23_2-108,,,,,,"LS 13 320, Aqueous Liquid Module",8328,4/16/2017 16:29,90,Fraunhofer.rfd   PIDS included,9,54,OK,7625,,0.03999,2000,100,208.09,8.60093,9.97319,3.56976,0.862405,41.6772,3.35673,11.2676,0,-0.599986,-0.103967,1.64987,9.97319,38.915,16807.9,,Size ,26.2654,50.0718,99.9967,100,100,,% <,26.3,50.1,99.997,100,100
4/16/2017 17:23,86B_23_4-50_8329_01.$ls,86B_23_4-50,,,,,,"LS 13 320, Aqueous Liquid Module",8329,4/16/2017 16:38,90,Fraunhofer.rfd   PIDS included,8,50,OK,7625,,0.03999,2000,100,210.52,6.4219,7.15966,2.97599,0.896956,18.0014,3.12483,9.76457,0,-0.579105,-0.112698,1.37902,7.15966,25.0682,20161.4,,Size ,33.1709,58.8161,100,100,100,,% <,33.2,58.8,100,100,100
